"Início dos relatórios","Término dos relatórios","Nome do anúncio",Idade,Alcance,Impressões,"Cliques (todos)","Engajamento com a Página","Valor usado (BRL)"
2023-10-01,2023-10-01,"50 MIX",35-44,101,124,0,,0.3
2023-09-25,2023-09-25,"50 MIX",25-34,101,107,1,,2.26
2023-02-14,2023-02-14,PASSION,45-54,190,193,0,101,0.97
2023-02-13,2023-02-13,PASSION,45-54,220,227,0,100,0.72
2023-10-17,2023-10-17,"50 MIX",18-24,99,138,1,,0.62
2023-10-15,2023-10-15,ACEVICHADO,18-24,99,215,1,1,0.84
2023-09-21,2023-09-21,"50 MIX",45-54,99,175,1,1,0.53
2023-09-16,2023-09-16,ACEVICHADO,45-54,99,178,0,,0.35
2023-10-17,2023-10-17,"50 SALMÃO",18-24,97,141,0,,0.54
2023-10-04,2023-10-04,"50 MIX",35-44,97,131,0,,0.34
2023-08-28,2023-08-28,ACEVICHADO,45-54,97,174,1,1,0.29
2023-09-29,2023-09-29,ACEVICHADO,45-54,96,164,1,1,0.41
2023-10-12,2023-10-12,"50 SALMÃO",35-44,95,117,1,1,0.58
2023-09-19,2023-09-19,"50 MIX",45-54,95,129,0,,0.37
2023-09-28,2023-09-28,ACEVICHADO,45-54,93,161,0,,0.42
2023-09-23,2023-09-23,"50 MIX",25-34,92,102,0,,0.74
2023-02-12,2023-02-12,PASSION,35-44,120,153,0,91,0.58
2023-09-22,2023-09-22,"50 MIX",45-54,90,132,1,1,0.42
2023-09-15,2023-09-15,ACEVICHADO,45-54,88,113,0,,0.419389
2023-02-15,2023-02-15,BATAYAKI,25-34,184,188,1,88,1.05
2023-10-14,2023-10-14,ACEVICHADO,18-24,85,155,1,1,0.73
2023-10-17,2023-10-17,ACEVICHADO,35-44,83,106,0,,0.4
2023-10-07,2023-10-07,ACEVICHADO,45-54,83,119,0,,0.21
2023-08-26,2023-08-26,ACEVICHADO,25-34,82,97,0,,0.16
2023-10-16,2023-10-16,ACEVICHADO,18-24,81,163,0,,0.64
2023-10-08,2023-10-08,"50 MIX",25-34,81,94,1,,0.3
2023-09-23,2023-09-23,"50 MIX",35-44,81,94,0,,0.74
2023-10-08,2023-10-08,ACEVICHADO,25-34,79,258,1,2,3.51
2023-02-14,2023-02-14,ACHIFADO,25-34,148,149,1,79,0.61
2023-02-04,2023-02-04,"BOX CASAL",35-44,8214,10072,117,85,50.535055
2023-09-26,2023-09-26,"50 MIX",45-54,76,121,0,,0.48
2023-09-27,2023-09-27,"50 MIX",45-54,75,119,2,,0.3
2023-02-14,2023-02-14,PASSION,45-54,132,136,0,72,0.67
2023-02-11,2023-02-11,BATAYAKI,25-34,196,196,0,71,1.71
2023-02-04,2023-02-04,"BOX CASAL",25-34,8750,10272,109,73,44.632128
2023-09-29,2023-09-29,"50 MIX",45-54,70,110,0,,0.21
2023-10-12,2023-10-12,ACEVICHADO,45-54,68,130,0,,0.67
2023-10-08,2023-10-08,ACEVICHADO,18-24,65,72,0,,0.09
2023-09-28,2023-09-28,"50 MIX",45-54,65,108,1,1,0.33
2023-09-23,2023-09-23,ACEVICHADO,45-54,65,73,0,,1.14
2023-10-07,2023-10-07,"50 MIX",18-24,61,81,0,,0.21
2023-02-12,2023-02-12,PASSION,25-34,108,111,1,61,0.45
2023-10-10,2023-10-10,"50 SALMÃO",25-34,59,115,0,,1.12
2023-09-25,2023-09-25,ACEVICHADO,18-24,59,67,0,,0.509318
2023-10-10,2023-10-10,"50 MIX",25-34,58,141,1,,1.19
2023-10-08,2023-10-08,"50 MIX",18-24,58,67,2,,0.04
2023-10-08,2023-10-08,"50 SALMÃO",35-44,58,61,0,1,0.16
2023-02-11,2023-02-11,ACHIFADO,35-44,246,246,0,58,2.67
2023-10-29,2023-10-29,"50 MIX",35-44,57,57,0,,0.19
2023-09-30,2023-09-30,"50 MIX",45-54,56,94,1,1,0.21
2023-02-12,2023-02-12,"BOX CASAL",35-44,54,55,0,2,0.12
2023-02-11,2023-02-11,PASSION,35-44,165,168,0,54,1.88
2023-10-13,2023-10-13,ACEVICHADO,45-54,53,93,0,,0.299599
2023-10-08,2023-10-08,"50 MIX",25-34,53,101,0,1,1.16
2023-10-06,2023-10-06,"50 SALMÃO",45-54,52,85,0,,0.17
2023-02-11,2023-02-11,ACHIFADO,18-24,282,284,1,52,1.92
2023-10-22,2023-10-22,ACEVICHADO,25-34,51,57,0,,0.14
2023-10-09,2023-10-09,"50 SALMÃO",25-34,51,146,0,,1.34
2023-10-08,2023-10-08,ACEVICHADO,35-44,51,145,3,3,1.84
2023-10-06,2023-10-06,"50 MIX",45-54,51,84,0,,0.17
2023-10-01,2023-10-01,ACEVICHADO,45-54,51,64,0,,0.09
2023-02-12,2023-02-12,ACHIFADO,35-44,105,105,0,51,0.31
2023-10-05,2023-10-05,"50 MIX",45-54,50,86,0,,0.15
2023-02-14,2023-02-14,ACHIFADO,35-44,77,78,0,50,0.44
2023-10-11,2023-10-11,"50 SALMÃO",18-24,49,55,0,,0.12
2023-10-09,2023-10-09,"50 MIX",25-34,48,115,0,,0.94
2023-02-15,2023-02-15,BATAYAKI,35-44,106,107,0,48,0.74
2023-02-13,2023-02-13,ACHIFADO,25-34,96,102,1,48,0.29
2023-10-28,2023-10-28,"50 MIX",45-54,47,73,0,1,0.24
2023-10-12,2023-10-12,"50 MIX",45-54,47,67,0,,0.24
2023-10-11,2023-10-11,ACEVICHADO,45-54,47,67,2,1,0.21
2023-09-23,2023-09-23,"50 MIX",18-24,47,50,0,,0.33
2023-10-11,2023-10-11,"50 SALMÃO",25-34,46,53,0,,0.1
2023-10-29,2023-10-29,"50 MIX",18-24,44,47,0,,0.23
2023-10-15,2023-10-15,"50 MIX",45-54,44,71,0,,0.35
2023-10-08,2023-10-08,"50 MIX",35-44,43,49,0,,0.11
2023-10-10,2023-10-10,ACEVICHADO,45-54,42,62,0,,0.16
2023-10-08,2023-10-08,"50 SALMÃO",25-34,42,75,2,,1.07
2023-02-14,2023-02-14,ACHIFADO,18-24,83,86,0,42,0.45
2022-12-08,2022-12-08,AD1,35-44,2572,2766,119,49,27.91
2023-10-27,2023-10-27,ACEVICHADO,25-34,41,43,1,1,0.18
2023-10-11,2023-10-11,"50 MIX",45-54,41,59,0,,0.18
2023-10-10,2023-10-10,"50 SALMÃO",45-54,41,54,0,,0.17
2023-10-09,2023-10-09,"50 SALMÃO",45-54,41,52,1,,0.11
2023-10-16,2023-10-16,"50 MIX",45-54,40,72,0,,0.32
2023-10-08,2023-10-08,"50 MIX",35-44,40,97,2,,1.38
2023-08-26,2023-08-26,ACEVICHADO,18-24,40,48,0,1,0.1
2023-02-12,2023-02-12,ACHIFADO,45-54,74,74,0,40,0.11
2023-10-25,2023-10-25,"50 MIX",45-54,39,60,1,,0.23
2023-10-13,2023-10-13,"50 SALMÃO",45-54,39,59,2,1,0.21
2023-10-05,2023-10-05,"50 SALMÃO",45-54,39,58,0,,0.12
2023-09-25,2023-09-25,ACEVICHADO,45-54,39,41,1,1,0.729024
2023-10-26,2023-10-26,"50 MIX",45-54,38,52,1,1,0.22
2023-10-17,2023-10-17,ACEVICHADO,18-24,38,60,0,,0.24
2023-10-07,2023-10-07,"50 MIX",45-54,38,60,1,1,0.19
2023-10-01,2023-10-01,"50 MIX",45-54,37,48,1,,0.09
2023-09-25,2023-09-25,"50 MIX",35-44,37,39,0,,0.83
2023-02-15,2023-02-15,BATAYAKI,18-24,88,90,1,37,0.52
2023-02-12,2023-02-12,BATAYAKI,25-34,54,54,0,37,0.23
2023-02-11,2023-02-11,PASSION,18-24,124,125,0,37,0.66
2023-10-09,2023-10-09,ACEVICHADO,45-54,36,75,1,,0.18
2023-10-04,2023-10-04,"50 MIX",45-54,36,48,0,,0.16
2023-02-15,2023-02-15,PASSION,45-54,72,72,0,36,0.36
2023-02-11,2023-02-11,BATAYAKI,35-44,125,126,0,36,1.15
2023-10-07,2023-10-07,"50 SALMÃO",45-54,35,45,0,,0.1
2023-02-13,2023-02-13,ACHIFADO,18-24,71,74,0,35,0.24
2022-11-28,2022-11-28,AD1,35-44,1716,1804,87,36,24.23
2023-09-25,2023-09-25,"50 MIX",18-24,34,38,0,,0.26
2023-10-19,2023-10-19,"50 SALMÃO",25-34,33,34,0,,0.18
2023-10-16,2023-10-16,ACEVICHADO,45-54,33,55,0,,0.27
2023-10-09,2023-10-09,"50 MIX",35-44,33,95,2,1,0.86
2023-09-18,2023-09-18,ACEVICHADO,65+,33,57,0,,0.25
2023-02-12,2023-02-12,"BOX CASAL",45-54,33,33,0,,0.02
2023-02-12,2023-02-12,ACHIFADO,55-64,62,71,0,33,0.12
2023-10-22,2023-10-22,ACEVICHADO,18-24,32,35,0,,0.17
2023-10-14,2023-10-14,"50 MIX",45-54,32,57,0,,0.3
2023-10-11,2023-10-11,"50 SALMÃO",35-44,32,37,0,,0.12
2023-10-27,2023-10-27,"50 SALMÃO",25-34,31,34,1,1,0.12
2023-10-24,2023-10-24,ACEVICHADO,25-34,31,31,0,,0.11
2023-10-22,2023-10-22,"50 MIX",45-54,31,51,0,,0.23
2023-10-10,2023-10-10,"50 MIX",35-44,31,73,0,,0.68
2023-10-09,2023-10-09,"50 SALMÃO",35-44,31,71,1,1,0.68
2023-09-04,2023-09-04,ACEVICHADO,55-64,31,62,0,,0.11
2023-02-12,2023-02-12,"BOX CASAL",55-64,31,31,0,2,0.06
2023-02-12,2023-02-12,PASSION,45-54,62,70,1,31,0.18
2023-10-14,2023-10-14,ACEVICHADO,45-54,30,47,0,,0.17
2023-10-13,2023-10-13,"50 MIX",45-54,30,44,0,,0.26
2023-10-10,2023-10-10,"50 SALMÃO",35-44,30,68,0,,0.73
2023-10-08,2023-10-08,ACEVICHADO,35-44,30,37,0,1,0.06
2023-09-05,2023-09-05,ACEVICHADO,55-64,30,53,0,,0.05
2023-02-11,2023-02-11,BATAYAKI,18-24,101,102,0,30,0.65
2023-10-22,2023-10-22,"50 SALMÃO",25-34,29,31,0,,0.1
2023-10-20,2023-10-20,ACEVICHADO,25-34,29,31,0,,0.11
2023-10-09,2023-10-09,"50 SALMÃO",18-24,29,94,1,2,0.77
2023-08-26,2023-08-26,ACEVICHADO,35-44,29,32,0,,0.05
2023-02-11,2023-02-11,ACHIFADO,45-54,87,87,1,29,1.08
2023-10-24,2023-10-24,"50 MIX",45-54,28,46,0,,0.19
2023-10-23,2023-10-23,"50 MIX",45-54,28,44,0,,0.22
2023-10-21,2023-10-21,"50 MIX",45-54,28,38,0,,0.13
2023-10-21,2023-10-21,ACEVICHADO,25-34,28,28,0,,0.08
2023-10-15,2023-10-15,ACEVICHADO,45-54,28,50,1,1,0.2
2023-10-10,2023-10-10,"50 SALMÃO",18-24,28,68,0,,0.76
2023-09-06,2023-09-06,ACEVICHADO,55-64,28,59,1,1,0.12
2023-02-12,2023-02-12,"BOX CASAL",65+,28,33,0,4,0.06
2023-02-07,2023-02-07,"BOX CASAL",65+,1364,1456,42,34,10.54
2023-10-26,2023-10-26,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,3395,3594,27,36,17.91
2023-08-29,2023-08-29,ACEVICHADO,55-64,27,37,0,,0.05
2022-12-08,2022-12-08,AD1,25-34,2558,2742,88,28,23.98
2023-10-17,2023-10-17,"50 MIX",45-54,26,33,0,1,0.15
2023-10-15,2023-10-15,"50 SALMÃO",45-54,26,56,0,,0.249681
2023-10-04,2023-10-04,"50 SALMÃO",45-54,26,38,0,,0.09
2023-10-27,2023-10-27,"50 MIX",45-54,25,33,1,,0.12
2023-10-16,2023-10-16,"50 SALMÃO",45-54,25,49,0,,0.23
2023-09-02,2023-09-02,ACEVICHADO,55-64,25,44,2,1,0.119642
2023-02-08,2023-02-08,"BOX CASAL",35-44,3352,3881,38,30,23.997334
2023-10-20,2023-10-20,"50 MIX",45-54,24,38,0,,0.17
2023-10-19,2023-10-19,ACEVICHADO,25-34,24,27,0,,0.11
2023-10-14,2023-10-14,"50 SALMÃO",45-54,24,37,0,,0.179751
2023-09-19,2023-09-19,ACEVICHADO,65+,24,48,0,,0.16
2023-09-18,2023-09-18,ACEVICHADO,55-64,24,51,0,,0.17
2023-09-01,2023-09-01,ACEVICHADO,55-64,24,39,1,,0.06
2023-08-31,2023-08-31,ACEVICHADO,55-64,24,39,0,,0.11
2023-02-12,2023-02-12,BATAYAKI,35-44,33,33,0,24,0.14
2023-02-12,2023-02-12,BATAYAKI,18-24,45,46,0,24,0.16
2023-10-27,2023-10-27,ACEVICHADO,18-24,23,26,0,,0.06
2023-10-22,2023-10-22,ACEVICHADO,35-44,23,25,0,,0.06
2023-10-09,2023-10-09,"50 MIX",18-24,23,51,0,,0.52
2023-08-27,2023-08-27,ACEVICHADO,55-64,23,45,0,,0.06
2023-02-15,2023-02-15,PASSION,45-54,57,58,0,23,0.26
2023-02-12,2023-02-12,PASSION,55-64,42,59,0,23,0.15
2023-02-06,2023-02-06,"BOX CASAL",55-64,978,1055,40,30,15.77
2023-10-12,2023-10-12,"50 SALMÃO",45-54,22,26,0,,0.15
2022-11-28,2022-11-28,AD1,25-34,1571,1673,56,24,21.14
2023-10-10,2023-10-10,"50 MIX",18-24,22,42,0,,0.48
2023-10-08,2023-10-08,"50 SALMÃO",35-44,22,43,0,,0.67
2023-08-28,2023-08-28,ACEVICHADO,55-64,22,32,0,,0.02
2023-09-19,2023-09-19,ACEVICHADO,55-64,21,37,0,,0.17
2023-09-06,2023-09-06,ACEVICHADO,65+,21,32,0,,0.06
2023-09-05,2023-09-05,ACEVICHADO,65+,21,34,0,,0.1
2023-09-01,2023-09-01,ACEVICHADO,65+,21,31,1,,0.06
2023-02-12,2023-02-12,PASSION,35-44,56,56,0,21,0.25
2023-02-08,2023-02-08,"BOX CASAL",25-34,3318,3899,28,22,20.610775
2023-10-10,2023-10-10,"50 MIX",45-54,20,58,1,1,0.65
2023-08-30,2023-08-30,ACEVICHADO,55-64,20,30,0,,0.07
2023-02-12,2023-02-12,PASSION,65+,36,40,0,20,0.1
2023-10-17,2023-10-17,ACEVICHADO,45-54,19,24,0,,0.11
2023-10-09,2023-10-09,"50 MIX",25-34,19,20,0,,0.04
2023-09-23,2023-09-23,"50 MIX",45-54,19,22,0,,0.13
2023-02-12,2023-02-12,ACHIFADO,65+,39,39,0,19,0.14
2023-10-26,2023-10-26,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,2230,2360,18,26,18.19
2023-10-24,2023-10-24,ACEVICHADO,18-24,18,19,0,,0.08
2023-10-13,2023-10-13,"Publicación de Instagram: PRA VOCÊ QUE SE AMARRA...",35-44,1289,1392,18,19,12.35
2023-09-04,2023-09-04,ACEVICHADO,65+,18,35,0,,0.1
2023-09-02,2023-09-02,ACEVICHADO,65+,18,20,0,,0.049851
2023-02-15,2023-02-15,ACHIFADO,25-34,74,74,0,18,0.5
2023-10-22,2023-10-22,"50 SALMÃO",35-44,17,19,0,,0.07
2023-10-19,2023-10-19,ACEVICHADO,35-44,17,18,0,,0.06
2023-07-21,2023-07-21,"50 SALMÃO",35-44,1385,1562,42,18,7.9
2023-03-20,2023-03-20,"BOX CASAL",35-44,1303,1433,21,51,30.39
2023-02-12,2023-02-12,PASSION,18-24,34,35,0,17,0.09
2023-02-07,2023-02-07,"BOX CASAL",55-64,1121,1194,21,19,7
2023-10-28,2023-10-28,ACEVICHADO,25-34,16,18,0,,0.12
2023-10-27,2023-10-27,"50 SALMÃO",18-24,16,18,0,,0.07
2023-09-26,2023-09-26,"50 MIX",65+,16,21,0,,0.14
2023-09-20,2023-09-20,"50 MIX",65+,16,31,0,,0.06
2023-08-31,2023-08-31,ACEVICHADO,65+,16,22,0,,0.04
2023-08-29,2023-08-29,ACEVICHADO,65+,16,25,0,,0.04
2023-08-27,2023-08-27,ACEVICHADO,65+,16,28,0,,0.07
2023-02-15,2023-02-15,ACHIFADO,35-44,43,44,0,16,0.27
2023-02-14,2023-02-14,BATAYAKI,25-34,28,28,1,16,0.15
2023-02-06,2023-02-06,"BOX CASAL",65+,698,771,18,16,13
2023-10-27,2023-10-27,ACEVICHADO,35-44,15,18,0,,0.07
2023-10-21,2023-10-21,ACEVICHADO,18-24,15,18,0,,0.08
2023-10-19,2023-10-19,"50 MIX",45-54,15,21,0,,0.12
2023-10-19,2023-10-19,ACEVICHADO,18-24,15,18,0,,0.09
2023-10-18,2023-10-18,"Publicação do Instagram: Saindo nossos uramakis...",25-34,1301,1345,15,242,10.62
2023-10-18,2023-10-18,"50 MIX",45-54,15,23,0,,0.07
2023-10-16,2023-10-16,"Publicación de Instagram: O REIZINHO DA CASA 👑...",25-34,1482,1539,15,18,9.55
2023-09-28,2023-09-28,"50 MIX",65+,15,24,0,,0.03
2023-09-27,2023-09-27,"50 MIX",65+,15,26,0,,0.06
2023-09-26,2023-09-26,ACEVICHADO,55-64,15,51,0,,0.17
2023-09-25,2023-09-25,"50 MIX",45-54,15,15,0,,0.12
2023-07-19,2023-07-19,"50 SALMÃO",35-44,1191,1306,35,15,5.11
2023-02-15,2023-02-15,ACHIFADO,18-24,33,34,0,15,0.09
2023-02-14,2023-02-14,Ad,25-34,125,126,1,15,1.43
2022-10-20,2022-10-20,ACHIFADO,13-17,14,14,0,,0.03
2023-10-28,2023-10-28,"50 SALMÃO",25-34,14,14,0,,0.07
2023-10-19,2023-10-19,"50 SALMÃO",35-44,14,14,0,1,0.06
2023-10-17,2023-10-17,"50 SALMÃO",45-54,14,19,0,,0.06
2023-10-13,2023-10-13,"Publicación de Instagram: PRA VOCÊ QUE SE AMARRA...",25-34,2428,2640,13,20,13.32
2023-10-10,2023-10-10,"50 SALMÃO",55-64,14,20,0,,0.22
2023-09-30,2023-09-30,"50 MIX",55-64,14,35,0,,0.06
2023-09-29,2023-09-29,"50 MIX",65+,14,28,1,1,0.05
2023-09-26,2023-09-26,ACEVICHADO,65+,14,26,0,,0.13
2023-09-21,2023-09-21,ACEVICHADO,65+,14,25,0,,0.01
2023-09-21,2023-09-21,ACEVICHADO,55-64,14,28,0,,0.1
2023-09-20,2023-09-20,"50 MIX",55-64,14,30,0,,0.08
2023-08-30,2023-08-30,ACEVICHADO,65+,14,18,0,,0.03
2023-02-06,2023-02-06,"BOX CASAL",45-54,980,1102,22,18,15.58
2023-10-29,2023-10-29,"50 SALMÃO",25-34,13,13,1,1,0.05
2023-10-28,2023-10-28,ACEVICHADO,18-24,13,14,0,,0.05
2023-10-24,2023-10-24,"50 SALMÃO",25-34,13,15,0,,0.06
2023-10-21,2023-10-21,"50 SALMÃO",25-34,13,13,0,,0.04
2023-10-16,2023-10-16,"Publicación de Instagram: O REIZINHO DA CASA 👑...",35-44,689,720,13,18,7.16
2023-10-12,2023-10-12,ACEVICHADO,55-64,13,23,1,,0.07
2023-10-11,2023-10-11,"50 MIX",35-44,13,16,0,,0.15
2023-10-09,2023-10-09,"50 MIX",45-54,13,51,0,,0.43
2023-09-30,2023-09-30,"50 MIX",65+,13,24,0,,0.06
2023-09-28,2023-09-28,"50 MIX",55-64,13,18,0,,0.05
2023-09-26,2023-09-26,"50 MIX",55-64,13,28,1,1,0.17
2023-09-22,2023-09-22,"50 MIX",55-64,13,21,0,,0.04
2023-09-22,2023-09-22,ACEVICHADO,65+,13,18,0,,0.06
2023-09-21,2023-09-21,"50 MIX",65+,13,32,0,,0.06
2023-09-19,2023-09-19,"50 MIX",65+,13,16,0,,0.03
2023-02-14,2023-02-14,ACHIFADO,45-54,26,27,0,13,0.12
2022-12-03,2022-12-03,"BOX CASAL",35-44,5524,5963,114,59,52.89
2023-10-27,2023-10-27,"50 SALMÃO",35-44,12,12,0,,0.04
2022-11-30,2022-11-30,"BOX CASAL",35-44,8556,9161,156,84,87.94
2023-10-22,2023-10-22,"50 SALMÃO",18-24,12,13,0,,0.05
2022-11-02,2022-11-02,"COMBOS MIX NOVO",35-44,4444,4888,109,46,44.78
2023-10-11,2023-10-11,ACEVICHADO,55-64,12,28,0,,0.06
2023-10-11,2023-10-11,"50 SALMÃO",25-34,12,13,0,,0.12
2023-10-11,2023-10-11,"50 MIX",25-34,12,15,0,,0.12
2023-10-10,2023-10-10,"50 MIX",55-64,12,42,0,,0.37
2023-10-09,2023-10-09,"50 MIX",18-24,12,12,0,,0.04
2023-10-09,2023-10-09,"50 SALMÃO",45-54,12,18,0,,0.2
2023-10-09,2023-10-09,"50 MIX",55-64,12,30,0,,0.23
2023-10-05,2023-10-05,"50 MIX",65+,12,17,0,,0.04
2023-10-04,2023-10-04,ACEVICHADO,65+,12,24,0,,0.06
2023-09-29,2023-09-29,"50 MIX",55-64,12,20,0,,0.06
2023-09-28,2023-09-28,ACEVICHADO,65+,12,20,0,,0.02
2023-09-23,2023-09-23,ACEVICHADO,55-64,12,14,0,,0.14
2023-09-22,2023-09-22,"50 MIX",65+,12,16,0,,0.02
2023-09-22,2023-09-22,ACEVICHADO,55-64,12,24,0,,0.09
2023-09-20,2023-09-20,ACEVICHADO,55-64,12,38,0,,0.09
2023-09-17,2023-09-17,ACEVICHADO,65+,12,20,0,,0.04
2023-09-17,2023-09-17,ACEVICHADO,55-64,12,47,0,,0.12
2023-09-01,2023-09-01,"ACEVICHADO ROLL",65+,612,690,17,12,3.72
2023-07-18,2023-07-18,"50 SALMÃO",35-44,1124,1258,37,13,4.87
2023-02-13,2023-02-13,ACHIFADO,35-44,40,40,0,12,0.17
2023-02-11,2023-02-11,BATAYAKI,45-54,39,40,0,12,0.35
2023-02-11,2023-02-11,PASSION,45-54,40,40,0,12,0.53
2023-02-10,2023-02-10,"BOX CASAL",25-34,2282,2472,25,14,12.58
2023-01-12,2023-01-12,"BOX CASAL",35-44,8012,8691,159,70,66.01
2023-10-26,2023-10-26,"50 SALMÃO",25-34,11,12,0,,0.04
2022-11-01,2022-11-01,"COMBOS MIX NOVO",35-44,3201,3667,56,30,53.154717
2023-10-23,2023-10-23,ACEVICHADO,25-34,11,11,0,,0.05
2023-10-20,2023-10-20,ACEVICHADO,18-24,11,16,0,,0.06
2023-10-19,2023-10-19,"50 SALMÃO",18-24,11,12,0,,0.04
2023-10-13,2023-10-13,"50 MIX",55-64,11,11,0,,0.07
2023-10-10,2023-10-10,"50 SALMÃO",45-54,11,15,0,,0.17
2023-10-09,2023-10-09,ACEVICHADO,25-34,11,17,0,,0.16
2023-10-08,2023-10-08,ACEVICHADO,18-24,11,19,0,,0.1
2023-09-27,2023-09-27,"50 MIX",55-64,11,20,0,,0.08
2023-09-20,2023-09-20,ACEVICHADO,65+,11,20,0,,0.07
2023-09-16,2023-09-16,ACEVICHADO,65+,11,22,0,,0.02
2023-09-16,2023-09-16,ACEVICHADO,55-64,11,29,0,,0.04
2023-08-26,2023-08-26,ACEVICHADO,45-54,11,11,1,1,0.01
2023-07-20,2023-07-20,"50 SALMÃO",45-54,316,346,18,11,1.63
2023-07-18,2023-07-18,"50 SALMÃO",25-34,919,1022,32,11,3.31
2023-02-15,2023-02-15,BATAYAKI,45-54,23,24,0,11,0.15
2023-02-10,2023-02-10,"BOX CASAL",35-44,1732,1821,21,12,16.39
2023-02-04,2023-02-04,"BOX CASAL",45-54,813,1109,14,12,5.682817
2023-10-26,2023-10-26,ACEVICHADO,25-34,10,13,0,,0.04
2023-01-16,2023-01-16,"BOX CASAL",35-44,7668,8302,105,54,59.8
2023-10-18,2023-10-18,"50 SALMÃO",35-44,10,10,0,,0.04
2023-10-12,2023-10-12,"Publicação do Instagram: Véspera de feriado pede...",25-34,990,1026,10,13,5.39
2023-10-08,2023-10-08,"50 MIX",45-54,10,11,0,,0.03
2023-10-08,2023-10-08,"50 SALMÃO",45-54,10,11,0,,0.03
2023-10-06,2023-10-06,"50 MIX",65+,10,17,0,,0.06
2023-03-11,2023-03-11,"BOX CASAL",35-44,1005,1084,12,60,6.85
2023-02-06,2023-02-06,"BOX CASAL",65+,294,304,13,12,3.87
2023-02-01,2023-02-01,"BOX CASAL",35-44,5772,6060,87,37,44.13
2023-10-28,2023-10-28,"50 MIX",55-64,9,13,0,,0.03
2023-01-30,2023-01-30,"BOX CASAL",35-44,3100,3387,59,34,38.91
2023-10-26,2023-10-26,"50 MIX",55-64,9,13,0,,0.02
2023-01-09,2023-01-09,"BOX CASAL",35-44,7724,8556,92,52,57.89
2023-10-21,2023-10-21,"50 SALMÃO",18-24,9,10,0,,0.03
2022-12-05,2022-12-05,"BOX CASAL",25-34,10732,11492,122,40,44.19
2023-10-21,2023-10-21,ACEVICHADO,35-44,9,9,0,,0.03
2022-11-29,2022-11-29,AD1,45-54,558,558,39,11,4.11
2023-10-20,2023-10-20,"50 SALMÃO",25-34,9,9,0,,0.04
2023-10-19,2023-10-19,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,427,440,9,12,4.85
2023-10-16,2023-10-16,"Publicación de Instagram: PRA VOCÊ QUE SE AMARRA...",25-34,1542,1608,9,12,8.08
2023-10-14,2023-10-14,"50 MIX",55-64,9,13,0,,0.07
2023-10-13,2023-10-13,ACEVICHADO,55-64,9,31,2,,0.169773
2023-10-11,2023-10-11,"50 MIX",55-64,9,16,0,,0.1
2023-10-10,2023-10-10,ACEVICHADO,55-64,9,20,0,,0.07
2023-10-06,2023-10-06,ACEVICHADO,65+,9,11,0,,0.04
2023-10-04,2023-10-04,ACEVICHADO,55-64,9,24,0,,0.05
2023-09-28,2023-09-28,ACEVICHADO,55-64,9,32,0,,0.06
2023-09-27,2023-09-27,ACEVICHADO,55-64,9,42,0,,0.05
2023-09-23,2023-09-23,ACEVICHADO,65+,9,10,0,,0.1
2023-09-21,2023-09-21,"50 MIX",55-64,9,27,0,,0.05
2023-08-25,2023-08-25,"ACEVICHADO ROLL",65+,406,431,18,9,2.69
2023-07-21,2023-07-21,"50 SALMÃO",25-34,1048,1183,14,10,4.9
2023-07-20,2023-07-20,"50 SALMÃO",35-44,654,714,25,9,2.9
2023-07-18,2023-07-18,"50 SALMÃO",45-54,610,665,28,9,2.64
2023-01-20,2023-01-20,"BOX CASAL",35-44,7928,8317,105,42,64.62
2023-10-28,2023-10-28,ACEVICHADO,35-44,8,11,0,,0.02
2023-01-17,2023-01-17,"BOX CASAL",35-44,9208,9945,135,61,62.92
2023-10-19,2023-10-19,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,689,712,8,9,4.53
2022-12-21,2022-12-21,"BOX CASAL",35-44,5176,5618,82,39,42.82
2023-10-19,2023-10-19,ACEVICHADO,45-54,8,9,0,,0.05
2022-12-09,2022-12-09,"BOX CASAL",35-44,6248,6370,101,37,54.26
2023-10-18,2023-10-18,"Publicação do Instagram: Saindo nossos uramakis...",35-44,732,755,7,163,9.65
2022-12-05,2022-12-05,"BOX CASAL",35-44,7108,7850,124,47,52.21
2023-10-17,2023-10-17,"50 MIX",55-64,8,9,0,,0.05
2022-10-12,2022-10-12,"COMBOS MIX",35-44,3176,3712,53,28,44.88
2023-10-16,2023-10-16,"50 MIX",55-64,8,14,0,,0.06
2023-10-12,2023-10-12,"50 MIX",55-64,8,14,0,,0.05
2023-10-11,2023-10-11,"50 SALMÃO",35-44,8,13,0,,0.11
2023-10-09,2023-10-09,ACEVICHADO,55-64,8,25,0,,0.03
2023-10-09,2023-10-09,"50 SALMÃO",65+,8,15,0,,0.13
2023-10-09,2023-10-09,"50 SALMÃO",55-64,8,17,1,1,0.16
2023-10-09,2023-10-09,"50 MIX",65+,8,24,1,,0.15
2023-10-08,2023-10-08,"50 SALMÃO",18-24,8,13,1,,0.08
2023-10-07,2023-10-07,"50 MIX",55-64,8,18,0,,0.08
2023-10-07,2023-10-07,ACEVICHADO,55-64,8,18,0,,0.04
2023-10-06,2023-10-06,"50 MIX",55-64,8,19,0,,0.07
