"Início dos relatórios","Término dos relatórios","Nome do anúncio",Idade,Alcance,Impressões,"Cliques (todos)","Engajamento com a Página","Valor usado (BRL)"
2023-06-13,2023-06-13,AD1,45-54,860,995,0,,1.31
2023-10-04,2023-10-04,ACEVICHADO,25-34,848,1398,4,3,4.04
2023-09-29,2023-09-29,ACEVICHADO,25-34,831,1295,0,,3.07
2023-09-28,2023-09-28,ACEVICHADO,25-34,830,1328,0,,3.27
2023-06-15,2023-06-15,AD1,45-54,824,976,1,2,1.19956
2023-10-06,2023-10-06,ACEVICHADO,25-34,804,1388,0,,3.23
2023-06-14,2023-06-14,AD1,45-54,792,958,3,2,1.27
2023-09-19,2023-09-19,"50 MIX",25-34,769,985,5,2,2.56
2023-08-28,2023-08-28,ACEVICHADO,25-34,766,1167,2,2,1.84
2023-09-18,2023-09-18,ACEVICHADO,18-24,746,1476,1,,4.27
2023-09-22,2023-09-22,"50 MIX",25-34,743,1067,1,,3.06
2023-10-05,2023-10-05,ACEVICHADO,25-34,739,1296,0,,3.27
2023-06-19,2023-06-19,AD1,45-54,732,825,2,1,1.18
2023-02-13,2023-02-13,PASSION,18-24,1209,1270,5,731,4.71
2023-09-19,2023-09-19,ACEVICHADO,18-24,722,1176,6,6,4.02
2023-06-22,2023-06-22,AD1,45-54,692,883,0,1,1.59
2023-10-12,2023-10-12,ACEVICHADO,25-34,675,1125,5,4,4.42
2023-03-30,2023-03-30,"Novo anúncio de Reconhecimento",55-64,673,673,4,1,2.14
2023-10-07,2023-10-07,ACEVICHADO,25-34,643,957,3,3,2.37
2023-02-13,2023-02-13,PASSION,35-44,1003,1024,7,599,4.33
2023-10-28,2023-10-28,"50 MIX",25-34,592,982,1,3,3.48
2023-09-04,2023-09-04,ACEVICHADO,35-44,587,961,3,3,1.59
2023-10-11,2023-10-11,ACEVICHADO,25-34,583,790,2,,2.62
2023-10-11,2023-10-11,"50 MIX",25-34,578,786,6,3,2.9
2023-06-09,2023-06-09,AD1,45-54,556,650,1,,1.27
2023-02-14,2023-02-14,PASSION,18-24,905,934,5,551,3.8
2023-10-22,2023-10-22,"50 MIX",25-34,550,911,0,1,3.11
2023-10-12,2023-10-12,"50 MIX",25-34,545,776,1,1,2.93
2023-10-14,2023-10-14,"50 MIX",25-34,536,882,7,4,4.25
2023-09-01,2023-09-01,ACEVICHADO,18-24,533,811,0,1,1.32
2023-08-29,2023-08-29,ACEVICHADO,18-24,532,839,2,4,1.56
2023-10-16,2023-10-16,"50 MIX",25-34,531,949,4,4,4.54
2023-09-02,2023-09-02,ACEVICHADO,18-24,530,734,3,2,1.345976
2023-09-21,2023-09-21,ACEVICHADO,35-44,527,862,1,,2.36
2023-10-26,2023-10-26,"50 MIX",25-34,526,791,3,3,2.86
2023-09-05,2023-09-05,ACEVICHADO,35-44,525,922,1,1,1.57
2023-10-23,2023-10-23,"50 MIX",25-34,524,887,2,2,3.21
2023-09-02,2023-09-02,ACEVICHADO,35-44,521,758,1,1,1.515469
2023-10-15,2023-10-15,"50 MIX",25-34,519,892,2,1,4.13
2023-09-16,2023-09-16,ACEVICHADO,18-24,518,840,1,1,1.57
2023-09-05,2023-09-05,ACEVICHADO,18-24,518,856,2,3,1.62
2023-02-13,2023-02-13,PASSION,18-24,894,927,1,516,3.47
2023-10-13,2023-10-13,ACEVICHADO,25-34,512,850,0,,3.635134
2023-09-04,2023-09-04,ACEVICHADO,18-24,510,839,0,,1.28
2023-09-17,2023-09-17,ACEVICHADO,18-24,506,913,0,,1.48
2023-08-31,2023-08-31,ACEVICHADO,18-24,505,807,3,2,1.51
2023-09-01,2023-09-01,ACEVICHADO,35-44,504,785,3,2,1.44
2023-10-24,2023-10-24,"50 MIX",25-34,503,717,1,1,2.95
2023-10-01,2023-10-01,ACEVICHADO,25-34,496,608,1,1,1.34
2023-10-25,2023-10-25,"50 MIX",25-34,495,765,4,4,2.87
2022-10-20,2022-10-20,ACHIFADO,65+,494,494,0,103,1.13
2023-09-26,2023-09-26,ACEVICHADO,35-44,494,802,0,,3.32
2023-10-15,2023-10-15,"50 SALMÃO",25-34,486,942,2,1,4.444317
2023-08-27,2023-08-27,ACEVICHADO,18-24,484,966,1,2,1.63
2023-09-06,2023-09-06,ACEVICHADO,35-44,480,760,2,,1.34
2023-09-23,2023-09-23,ACEVICHADO,25-34,479,534,3,1,3.89
2023-10-21,2023-10-21,"50 MIX",25-34,476,797,1,2,2.94
2023-10-13,2023-10-13,"50 SALMÃO",25-34,476,759,1,2,3.87
2023-10-14,2023-10-14,"50 SALMÃO",25-34,474,833,0,3,4.164232
2023-10-20,2023-10-20,"50 MIX",25-34,472,787,2,1,2.91
2023-10-16,2023-10-16,"50 SALMÃO",25-34,469,884,0,,4.3
2023-09-20,2023-09-20,"50 MIX",18-24,468,932,5,4,2.44
2023-09-20,2023-09-20,ACEVICHADO,35-44,465,809,3,3,2.14
2023-08-29,2023-08-29,ACEVICHADO,35-44,464,730,2,,1.37
2023-09-22,2023-09-22,ACEVICHADO,35-44,461,703,1,,2
2023-10-09,2023-10-09,"50 SALMÃO",25-34,458,643,3,3,1.61
2023-10-10,2023-10-10,ACEVICHADO,25-34,449,639,1,1,1.73
2023-09-26,2023-09-26,"50 MIX",25-34,446,645,7,2,2.28
2023-08-31,2023-08-31,ACEVICHADO,35-44,444,719,3,1,1.17
2023-02-14,2023-02-14,PASSION,18-24,749,774,2,443,3.29
2023-06-16,2023-06-16,AD1,45-54,442,543,0,,0.827859
2023-02-13,2023-02-13,PASSION,35-44,795,815,3,441,3.14
2023-09-06,2023-09-06,ACEVICHADO,18-24,431,725,0,1,1.17
2023-10-27,2023-10-27,"50 MIX",25-34,430,558,0,,2.22
2023-09-21,2023-09-21,"50 MIX",18-24,429,773,2,,1.98
2023-08-30,2023-08-30,ACEVICHADO,18-24,425,685,0,1,1.22
2023-09-21,2023-09-21,ACEVICHADO,18-24,422,718,1,1,1.86
2023-02-14,2023-02-14,PASSION,35-44,753,767,7,419,3.93
2023-09-20,2023-09-20,"50 MIX",35-44,418,823,0,,2.25
2023-09-26,2023-09-26,ACEVICHADO,18-24,417,706,1,1,2.12
2023-09-22,2023-09-22,ACEVICHADO,18-24,417,611,0,,1.43
2023-10-06,2023-10-06,"50 SALMÃO",25-34,415,667,1,1,1.66
2023-09-30,2023-09-30,ACEVICHADO,18-24,410,724,0,,1.58
2023-09-16,2023-09-16,ACEVICHADO,35-44,410,636,1,1,1.36
2023-10-19,2023-10-19,"50 MIX",25-34,408,549,1,,2.56
2023-09-27,2023-09-27,ACEVICHADO,18-24,408,691,2,1,1.6
2023-08-28,2023-08-28,ACEVICHADO,18-24,408,660,2,2,0.94
2023-09-17,2023-09-17,ACEVICHADO,35-44,407,745,0,,1.16
2023-10-05,2023-10-05,"50 MIX",25-34,400,613,0,,1.72
2023-06-08,2023-06-08,AD1,45-54,400,425,0,,0.47
2023-09-29,2023-09-29,"50 MIX",25-34,392,613,2,3,1.55
2023-10-10,2023-10-10,"50 SALMÃO",25-34,391,504,1,,1.45
2023-06-07,2023-06-07,AD1,45-54,386,446,0,,0.55
2023-09-28,2023-09-28,ACEVICHADO,35-44,384,635,2,1,1.48
2023-02-12,2023-02-12,BATAYAKI,13-17,1369,1432,3,383,0.53
2023-08-30,2023-08-30,ACEVICHADO,35-44,380,617,1,,1.05
2023-09-29,2023-09-29,ACEVICHADO,35-44,377,647,1,,1.53
2023-09-15,2023-09-15,ACEVICHADO,18-24,377,466,0,1,1.527773
2023-09-30,2023-09-30,ACEVICHADO,35-44,376,631,2,2,1.43
2023-10-06,2023-10-06,ACEVICHADO,35-44,375,645,0,,1.51
2023-10-05,2023-10-05,ACEVICHADO,35-44,375,664,0,,1.76
2023-10-13,2023-10-13,"50 MIX",25-34,373,540,1,1,2.65
2023-09-21,2023-09-21,"50 MIX",35-44,372,679,0,,1.75
2023-08-27,2023-08-27,ACEVICHADO,35-44,372,743,1,,1.28
2023-09-27,2023-09-27,ACEVICHADO,35-44,370,626,1,1,1.38
2023-09-30,2023-09-30,"50 MIX",25-34,368,579,1,1,1.4
2023-09-29,2023-09-29,ACEVICHADO,18-24,368,626,0,,1.44
2023-09-27,2023-09-27,"50 MIX",25-34,366,564,1,,1.21
2023-10-04,2023-10-04,ACEVICHADO,35-44,365,640,6,5,1.89
2023-10-06,2023-10-06,"50 MIX",25-34,364,506,2,3,1.3
2023-10-09,2023-10-09,ACEVICHADO,25-34,363,601,0,3,1.57
2023-10-15,2023-10-15,ACEVICHADO,25-34,360,658,0,1,3.07
2023-09-28,2023-09-28,"50 MIX",25-34,359,588,2,1,1.39
2023-09-20,2023-09-20,ACEVICHADO,18-24,357,614,1,,1.58
2023-02-14,2023-02-14,PASSION,35-44,664,674,4,357,3.43
2022-10-19,2022-10-19,ACHIFADO,45-54,356,367,1,,0.62
2023-06-27,2023-06-27,AD1,45-54,356,379,2,1,1.28
2023-03-30,2023-03-30,"Novo anúncio de Reconhecimento",65+,353,353,6,2,1.01
2023-09-28,2023-09-28,ACEVICHADO,18-24,350,587,2,1,1.37
2023-09-19,2023-09-19,"50 MIX",18-24,347,437,1,,1.12
2023-08-28,2023-08-28,ACEVICHADO,35-44,341,558,0,,0.88
2023-10-05,2023-10-05,"50 SALMÃO",25-34,340,483,1,1,1.08
2023-10-04,2023-10-04,ACEVICHADO,18-24,333,571,0,,1.57
2023-09-22,2023-09-22,"50 MIX",18-24,331,464,0,,1.26
2023-09-15,2023-09-15,ACEVICHADO,35-44,327,409,2,,1.407948
2023-09-19,2023-09-19,"50 MIX",35-44,324,443,1,1,1.13
2023-10-11,2023-10-11,ACEVICHADO,18-24,318,465,1,,1.67
2023-10-06,2023-10-06,ACEVICHADO,18-24,317,528,1,,1.1
2023-10-18,2023-10-18,"50 MIX",25-34,316,504,2,1,2.04
2023-10-12,2023-10-12,ACEVICHADO,35-44,311,608,5,1,2.19
2023-10-04,2023-10-04,"50 SALMÃO",25-34,310,443,1,1,1.3
2023-10-07,2023-10-07,"50 SALMÃO",25-34,307,413,2,3,1.19
2023-10-07,2023-10-07,ACEVICHADO,35-44,306,437,0,,1.35
2023-09-22,2023-09-22,"50 MIX",35-44,302,460,2,,1.3
2023-10-14,2023-10-14,ACEVICHADO,25-34,299,484,0,1,2.27
2023-10-12,2023-10-12,ACEVICHADO,18-24,297,538,1,,1.7
2023-02-15,2023-02-15,PASSION,25-34,579,587,3,295,3.03
2023-10-09,2023-10-09,"50 SALMÃO",18-24,292,429,4,2,0.95
2023-10-05,2023-10-05,ACEVICHADO,18-24,280,466,0,1,1.07
2023-10-17,2023-10-17,"50 SALMÃO",25-34,273,375,1,,1.72
2023-09-18,2023-09-18,ACEVICHADO,45-54,273,435,2,,1.51
2023-10-11,2023-10-11,ACEVICHADO,35-44,270,413,3,,1.33
2023-10-12,2023-10-12,"50 SALMÃO",25-34,269,327,1,1,1.42
2023-10-10,2023-10-10,ACEVICHADO,18-24,268,403,2,2,1.12
2023-10-16,2023-10-16,ACEVICHADO,25-34,265,469,0,,2.14
2023-02-15,2023-02-15,PASSION,25-34,580,587,1,263,2.98
2023-10-07,2023-10-07,"50 MIX",25-34,260,341,0,,1.21
2023-09-23,2023-09-23,ACEVICHADO,35-44,260,288,0,,3.17
2023-10-12,2023-10-12,"50 MIX",18-24,256,370,2,2,1.53
2023-10-17,2023-10-17,"50 MIX",25-34,255,313,1,1,1.37
2023-10-12,2023-10-12,"50 MIX",35-44,252,373,4,1,1.63
2023-10-11,2023-10-11,"50 MIX",35-44,250,371,6,3,1.32
2023-10-04,2023-10-04,"50 MIX",25-34,250,326,1,2,0.9
2023-10-16,2023-10-16,"50 MIX",35-44,243,418,2,1,1.82
2023-09-19,2023-09-19,ACEVICHADO,45-54,243,440,2,,1.62
2023-02-12,2023-02-12,PASSION,25-34,376,376,3,241,1.37
2023-10-11,2023-10-11,"50 MIX",18-24,237,313,4,1,0.97
2023-10-07,2023-10-07,ACEVICHADO,18-24,235,322,0,,0.65
2023-09-26,2023-09-26,"50 MIX",35-44,234,376,1,1,1.6
2023-10-28,2023-10-28,"50 MIX",35-44,233,388,1,,1.41
2023-10-01,2023-10-01,"50 MIX",25-34,233,295,0,,0.55
2023-09-25,2023-09-25,ACEVICHADO,25-34,233,251,2,1,3.85484
2023-10-15,2023-10-15,"50 MIX",35-44,226,366,1,1,1.85
2023-10-09,2023-10-09,ACEVICHADO,18-24,226,356,1,,0.84
2023-10-28,2023-10-28,"50 MIX",18-24,224,460,0,,1.57
2023-10-10,2023-10-10,"50 SALMÃO",18-24,220,269,1,,0.61
2023-10-14,2023-10-14,"50 MIX",35-44,219,337,2,2,1.7
2023-10-06,2023-10-06,"50 SALMÃO",18-24,215,357,0,,0.73
2023-10-26,2023-10-26,"50 MIX",35-44,214,306,0,1,1.05
2023-10-25,2023-10-25,"50 MIX",18-24,213,410,1,,1.55
2023-10-13,2023-10-13,ACEVICHADO,35-44,213,371,2,,1.8675
2023-10-01,2023-10-01,ACEVICHADO,35-44,213,270,0,,0.44
2023-10-26,2023-10-26,"50 MIX",18-24,212,384,0,1,1.39
2023-10-05,2023-10-05,"50 MIX",18-24,212,313,0,,0.69
2023-10-25,2023-10-25,"50 MIX",35-44,211,308,0,3,1.09
2023-09-30,2023-09-30,"50 MIX",35-44,210,324,0,,0.73
2023-10-24,2023-10-24,"50 MIX",18-24,208,358,0,,1.44
2023-10-22,2023-10-22,"50 MIX",35-44,206,357,1,,1.2
