fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAÍS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCIÓN ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAÍS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA SALIDA,TOTAL AJUSTES,TOTAL OTROS AJUSTES
03-01-2023,IMPORTACION A CONSUMO,028-2023-10-00008922,00000012,1,0993080888001,AMBIENPAC S.A.,UNITED STATES,UNITED STATES,MIAMI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR AQUATICLEAR 2400 PARA EL TRATAMIENTO DE AGUAS RESIDUALES,SN,NUEVA,1,4,NUMERO DE UNIDADES,0,4452,160,10,4622,"KASCO MARINE, IC",CITIKOLD S.A.,UNITED STATES,0,01902171-RIVERA DILIGENCIAS ADUANERAS S.A. RIVEDASA,SEABAORD EXPLORER,CEC2022SMLU0197,22O525,05909025-CONTECON GUAYAQUIL S.A.,100,AFORO-AFORO AUTOMATICO,ALMAX II MZ 4N SL 2 KM 14 VIA SAMBORONDON,20221224,20221231,20230103,20230104,IN-157777,"AQUATICLEAR W/FLOAT, PARA EL TRATAMIENTO DE AGUAS RESIDUALES",MEZCLADOR 2400,SN,0,2400CFM050,1113,20230103,20230103,EXW,SACO SHIPPING S.A.,-,0,CEC2022SMLU019700150202,20230106,,0
04-01-2023,IMPORTACION A CONSUMO,028-2023-10-00013390,00000040,1,1.79263E+12,GRUPOICSIA S.A,CHINA,CHINA,SHEKOU,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",TRITURADOR DE PLÁSTICO PARA RECICLAJE,XUCAI ENVIRONMENTAL,NUEVA,3,1,NUMERO DE UNIDADES,0,6970,30,74.7,7044.7,GUANGZHOU XUCAI ENVIOMENTAL TECHNOLOGY CO LTD,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,0,01777833-CORADUANAS-ECU CIA.LTDA.,KOTA PURI,CEC2022PCIU0019,BJGZ22110113,05907400-INARPI S.A.,1338,AFORO-AFORO AUTOMATICO,MANUEL E4-13 Y AV INTEROCEANICA QUITO ECUADOR,20221119,20221227,20230104,20230104,XC20220611,PLASTIC CRUSHER,TRITURADOR DE PLÁSTICO PARA RECICLAJE,XUCAI ENVIRONMENTAL,2022,TLE6246,6970,20230104,20230104,CIF,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,-,0,CEC2022PCIU001930300004,20230105,,500
04-01-2023,IMPORTACION A CONSUMO,028-2023-10-00015078,00000541,1,1.89178E+12,GALAIMPORTACIONES CIA.LTDA.,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADORA,INGCO,NUEVA,1343,60,NUMERO DE UNIDADES,0,2891.4,0,3.54,2894.94,UNIWISDOM TECHNOLOGY CO. PTE. LTD.,COSCO SHIPPING LINES ECUADOR CIA. LTDA.,CHINA,1,01902441-TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.,CAP ANDREAS,CEC2022WHLU5562,COSU8026543220,05907400-INARPI S.A.,360,AFORO-AFORO AUTOMATICO,AV LAS AMERICAS 01-111 Y COLOMBIA AMBATO ECUADOR,20221206,20230107,20230104,20230104,YWL-22-1513,MEZCLADORA,PRODUCTO TERMINADO,INGCO,0,UMX214008,48.19,20230104,20230104,CFR,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2022WHLU55621057,20230113,,57.56
04-01-2023,IMPORTACION A CONSUMO,028-2023-10-00012491,00210195,1,1.79128E+12,SQM ECUADOR S.A.,MEXICO,MEXICO,MANZANILLO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",SISTEMA PARA HOMOGENIZAR AGITAR MEZCLAR FERTILIZANTES CON SUS PARTES Y PIEZAS,SM,NUEVA,11,1,NUMERO DE UNIDADES,0,35772.25,270.33,357.72,36129.97,"EQUIPOS PARA ENVASADO, S.A. DE C.V.",COSCO SHIPPING LINES ECUADOR CIA. LTDA.,MEXICO,0,01900025-ACOMEXIN S.A. AGENCIA DE COMERCIO EXTERIOR INTEGRADO,CMA CGM ALASKA,CEC2022CMAU0181,EXIM01/11/561/22,05777781-DPWORLD POSORJA S.A.,669.5,AFORO-AFORO AUTOMATICO,PICHINCHA / QUITO / SAN JUAN / ROBLES 653 Y AV. AMAZONAS,20221212,20221231,20230104,20230104,CFDI-15838,SISTEMA PARA HOMOGENIZAR AGITAR MEZCLAR FERTILIZANTES CON SUS PARTES Y PIEZAS,SISTEMA PARA HOMOGENIZAR AGITAR MEZCLAR FERTILIZANTES CON SUS PARTES Y PIEZAS,SM,0,SM,35772.25,20230104,20230104,CIF,ROLA INTERNACIONAL S.A.,"0416-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO ""IVA"", APLICA TEXTO LEGAL # 5 ART. 55 LRTI (NO APLICA PARA LISTA DE BIENES DEL ANEXO 1 D. E. 1232 - R.O. 393-2S, 31-VII-2008) - Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresivid",0,CEC2022CMAU018170050001,20230106,,2581.18
04-01-2023,IMPORTACION A CONSUMO,028-2023-10-00016269,00000598,1,1.89178E+12,GALAIMPORTACIONES CIA.LTDA.,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADORA,INGCO,NUEVA,854,120,NUMERO DE UNIDADES,0,5782.8,0,7.05,5789.85,UNIWISDOM TECHNOLOGY CO. PTE. LTD.,COSCO SHIPPING LINES ECUADOR CIA. LTDA.,CHINA,1,01902441-TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.,CAP ANDREAS,CEC2022WHLU5562,COSU8026543640,05907400-INARPI S.A.,720,AFORO-AFORO DOCUMENTAL,AV LAS AMERICAS 01-111 Y COLOMBIA AMBATO ECUADOR,20221206,20230107,20230104,20230105,YWL-22-1514,MEZCLADORA,PRODUCTO TERMINADO,INGCO,0,UMX214008,48.19,20230104,20230111,CFR,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2022WHLU55621058,20230113,,93.09
04-01-2023,IMPORTACION A CONSUMO,028-2023-10-00016383,00000066,10,0791754690001,PLANPROMIN SA,SPAIN,SPAIN,VALENCIA,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADORA LODIGE,CLEMENTE ROMAN,NUEVA,16,1,NUMERO DE UNIDADES,0,15918.75,4067.3,61.7,20047.75,CLEMENTE ROMAN,MAERSK DEL ECUADOR C.A.,SPAIN,2,01904810-VERA SERRANO JORGE LUIS,LUNA MAERSK,CEC2022MAEU0482,OP22118A,05909025-CONTECON GUAYAQUIL S.A.,1515.78,AFORO-AFORO AUTOMATICO,ROCAFUERTE SN Y 9 DE MAYO MACHALA,20221202,20221230,20230104,20230105,0020 2022 M2,NINGUNA,MEZCLADORA LODIGE,CLEMENTE ROMAN,0,SIN MODELO,15918.75,20230104,20230104,FOB,ECU - WORLDWIDE - (ECUADOR) S.A.,-,0,CEC2022MAEU048200660001,20230110,,0
04-01-2023,IMPORTACION A CONSUMO,028-2023-10-00013448,01000052,11,2.09177E+12,GALAMEDCANNABIS CIA LTDA,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",SITRRER MAGNETICO,SIN MARCA,NUEVA,12,1,NUMERO DE UNIDADES,0,255,0,2.55,257.55,"ZHENGZHOU KEDA MACHINERY AND INTRUMENT EQUIPMENT CO.,LTD",HAMBURG SÜD ECUADOR S.A.,CHINA,1,01777875-SILMAT&ASOCIADOS S A S,MAERSK SALINA,CEC2022MAEU0469,DSCGO000147,05909025-CONTECON GUAYAQUIL S.A.,17.42,AFORO-AFORO FISICO INTRUSIVO,GALAPAGOS / SANTA CRUZ / BELLAVISTA / CAMINO VIEJO S/N,20221123,20221226,20230104,20230104,ZZKD-E-22082301,ZNCL-BS 230X230MM,SITRRER MAGNETICO,SIN MARCA,2022,ZNCL-BS 230X230MM,255,20230104,20230109,CIF,INCA LINES DEL ECUADOR INCALINES S.A.,-,0,CEC2022MAEU046955010009,20230113,,44.1
05-01-2023,IMPORTACION A CONSUMO,028-2023-10-00019068,00202614,5,1.7902E+12,TECNANDINA S.A.,ITALY,BRAZIL,NAVEGANTES,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADORA,SIN MARCA,NUEVA,24,1,NUMERO DE UNIDADES,0,59915.46,3451.27,0.64,63367.38,GRUNENTHAL DO BRASIL FARMACEUTICA LTDA,MAERSK DEL ECUADOR C.A.,BRAZIL,0,01900010-CESAR CHAVEZ BARRIGA & ASOCIADOS CIA. LTDA.,MAERSK WILMINGTON,CEC2023MAEU0002,SAOA19943,05909025-CONTECON GUAYAQUIL S.A.,850,AFORO-AFORO AUTOMATICO,AV.MANUEL CORDOVA GALARZA KM 6 QUITO ECUADOR,20221122,20230101,20230105,20230105,001-22,MIXER PHARMA BLENDER PM 400,MEZCLADORA,SIN MARCA,2022,PM 400,59915.46,20230105,20230105,EXW,DHL GLOBAL FORWARDING ECUADOR S.A.,-,0,CEC2023MAEU000200460001,20230108,,0
05-01-2023,IMPORTACION A CONSUMO,028-2023-10-00019068,00202614,7,1.7902E+12,TECNANDINA S.A.,ITALY,BRAZIL,NAVEGANTES,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MAQUINA TAMIZADORA,SIN MARCA,NUEVA,24,1,NUMERO DE UNIDADES,0,59915.46,1725.64,0.64,61641.74,GRUNENTHAL DO BRASIL FARMACEUTICA LTDA,MAERSK DEL ECUADOR C.A.,BRAZIL,0,01900010-CESAR CHAVEZ BARRIGA & ASOCIADOS CIA. LTDA.,MAERSK WILMINGTON,CEC2023MAEU0002,SAOA19943,05909025-CONTECON GUAYAQUIL S.A.,386,AFORO-AFORO AUTOMATICO,AV.MANUEL CORDOVA GALARZA KM 6 QUITO ECUADOR,20221122,20230101,20230105,20230105,001-22,SIEVE BTS 200,TAMIZADORA BTS 200,SIN MARCA,2022,BTS 200,59915.46,20230105,20230105,EXW,DHL GLOBAL FORWARDING ECUADOR S.A.,-,0,CEC2023MAEU000200460001,20230108,,0
05-01-2023,IMPORTACION A CONSUMO,028-2023-10-00018727,00000068,1,0992597143001,COSUMISA S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",PADDLEWHEEL AERATOR,SIN MARCA,NUEVA,5140,360,NUMERO DE UNIDADES,0,164880,10302.9,1751.83,176934.73,ZHEJIANG FORDY IMP EXP CO LTD,BROOM-ECUADOR S.A.,CHINA,0,01902288-ILLINGWORTH GARCIA CRISTOBAL LUIS,WAN HAI 723,CEC2022WHLU5558,SWOSZX22110882,05907400-INARPI S.A.,33768,AFORO-AFORO AUTOMATICO,CAMILO DESTRUGE 2410 Y ABEL CASTILLO,20221125,20221231,20230105,20230106,LC220921-1,PADDLEWHEEL AERATOR,PADDLEWHEEL AERATOR,SIN MARCA,0,SIN MODELO,458,20230105,20230105,FOB,GLOVAL-SHIPPING ECUADOR CIA.LTDA,-,0,CEC2022WHLU555820530001,20230114,,0
