fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAIS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCION ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAIS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA DE SALIDA DE ALMACEN,PAÍS DE ORIGEN,DESCRIPCIÓN ARANCELARIA,PAÍS DE EMBARQUE,FECHA SALIDA,TOTAL AJUSTES,TOTAL OTROS AJUSTES
2021-01-14,IMPORTACION A CONSUMO,055-2021-10-00033251,14.0,5.0,601287006001.0,LEORO MONROY GALO ALBERTO,CHINA,HONG KONG,HONG KONG INTERNATIONAL AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",SOPORTE PARA AGITADOR DE PLACA,SIN MARCA,NUEVA,13.0,2.0,NUMERO DE UNIDADES,0.0,90.95,131.85,3.87,226.67,BIOBASE KINGS CO LTD,EMIRATES,HONG KONG,0.0,BEDOYA MOGOLLON CRISTIAN MAURICIO,A6 EFS,CEC2021EK021249,17627450835,-,5.11,AFORO-AFORO AUTOMATICO,AVE COLOMBIA Y JULIO CASTRO,20210110.0,20210111.0,20210114.0,20210115.0,BKEL200919ED-3177,1890016,MATERIAL DE LABORATORIO,SIN MARCA,2020.0,PT1000-A,45.48,20210114.0,20210114.0,CPT,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021EK0212490006,20210115.0,,,,,,
2021-01-14,IMPORTACION A CONSUMO,055-2021-10-00033251,14.0,6.0,601287006001.0,LEORO MONROY GALO ALBERTO,CHINA,HONG KONG,HONG KONG INTERNATIONAL AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",SOPORTE PARA AGITADOR DE PLACA,SIN MARCA,NUEVA,13.0,2.0,NUMERO DE UNIDADES,0.0,110.95,131.85,3.87,246.67,BIOBASE KINGS CO LTD,EMIRATES,HONG KONG,0.0,BEDOYA MOGOLLON CRISTIAN MAURICIO,A6 EFS,CEC2021EK021249,17627450835,-,5.11,AFORO-AFORO AUTOMATICO,AVE COLOMBIA Y JULIO CASTRO,20210110.0,20210111.0,20210114.0,20210115.0,BKEL200919ED-3177,18900136,MATERIAL DE LABORATORIO,SIN MARCA,2020.0,PT1000-B,55.48,20210114.0,20210114.0,CPT,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021EK0212490006,20210115.0,,,,,,
2021-01-18,IMPORTACION A CONSUMO,055-2021-10-00042444,2714.0,35.0,1792450000000.0,HANNA INSTRUMENTS ECUADOR S.A. HANNAINST,ROMANIA,MEXICO,MEXICO CITY INTERNATIONAL AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MINI AGITADOR MAGNETICO,HANNAPRO,NUEVA,10.0,1.0,NUMERO DE UNIDADES,0.0,54.81,4.0,0.55,59.36,HANNAPRO S A DE C V,TRANSOCEANICA COMPAÑIA LIMITADA,MEXICO,0.0,TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.,N363CM,CEC2021M7020010,HLI003012.,-,0.84,AFORO-AFORO AUTOMATICO,INGLATERRA N31 126 Y MARIANA DE JESUS SECTOR MARISCAL,20210117.0,20210117.0,20210118.0,20210119.0,B 5472,"""AGITADOR MAGNETICO CON CUBIERTA ABS; 115 V""",PRODUCTO TERMINADO,HANNAPRO,0.0,HI190M-1,54.81,20210118.0,20210119.0,CPT,TOLEPU S.A.,,0.0,CEC2021M702001000020001,20210119.0,,,,,,
2021-01-29,IMPORTACION A CONSUMO,055-2021-10-00079321,124.0,4.0,1716310000000.0,FONSECA FERNANDEZ VIVIANA ELIZABETH,GERMANY,GERMANY,DÜSSELDORF AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MORTAR GRIBER RM200,RETSCH,NUEVA,7.0,1.0,NUMERO DE UNIDADES,0.0,5838.68,490.46,63.29,6392.43,RETSCH GMBH (DUS),KLM CIA REAL HOLANDESA DE AVIACION SA,GERMANY,0.0,ANTONIO SALGUERO O & EDUARDO SALGUERO O SERVICIOS ADUANEROS CIA. LTDA,PHBQD,CEC2021KL210834,07440997106,-,42.29,AFORO-AFORO AUTOMATICO,AV. MORAN VALVERDE S/N Y AV. MALDONADO,20210127.0,20210127.0,20210129.0,20210129.0,AR21R00634,EQUIPOS DE LABORATORIO,MORTAR GRIBER RM200,RETSCH,2021.0,230V 60 HZ,5838.68,20210129.0,20210129.0,CPT,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021KL2108340012,20210201.0,,,,,,
2021-01-29,IMPORTACION A CONSUMO,055-2021-10-00079321,124.0,3.0,1716310000000.0,FONSECA FERNANDEZ VIVIANA ELIZABETH,GERMANY,GERMANY,DÜSSELDORF AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MORTAR GRINDER RM 200,RETSCH,NUEVA,7.0,1.0,NUMERO DE UNIDADES,0.0,4902.28,411.83,53.14,5367.25,RETSCH GMBH (DUS),KLM CIA REAL HOLANDESA DE AVIACION SA,GERMANY,0.0,ANTONIO SALGUERO O & EDUARDO SALGUERO O SERVICIOS ADUANEROS CIA. LTDA,PHBQD,CEC2021KL210834,07440997106,-,35.51,AFORO-AFORO AUTOMATICO,AV. MORAN VALVERDE S/N Y AV. MALDONADO,20210127.0,20210127.0,20210129.0,20210129.0,AR21R00634,EQUIPOSDE LABORATORIO,MORTAR GRINDER RM 20,RETSCH,2021.0,230V 60 HZ,4902.28,20210129.0,20210129.0,CPT,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021KL2108340012,20210201.0,,,,,,
2021-01-20,IMPORTACION A CONSUMO,055-2021-10-00048269,1000271.0,1.0,1791920000000.0,TECNOESCALA S.A.,ITALY,ITALY,LINATE AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR CALENTADOR,VELP,NUEVA,1.0,1.0,NUMERO DE UNIDADES,0.0,1034.75,288.85,4.15,1327.75,VELP SCIENTIFICA SRL,IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,ITALY,0.0,CALAHORRANO REVELO JIMENA DEL ROCIO,ECNGT,CEC2021IB002953,SE2101000031,-,14.06,AFORO-AFORO AUTOMATICO,TERESA DE CEPEDA N34-377 Y AV. REPUBLICA,20210118.0,20210118.0,20210120.0,20210120.0,1120205024,AM4 HEATING MAG STIRRER 230V 50 60HZ,AGITADOR CALENTADOR,VELP,2020.0,F20500420,1034.75,20210120.0,20210120.0,EXW,SIATILOGISTICS S.A.,,0.0,CEC2021IB00295300150001,20210120.0,,,,,,
2021-01-20,IMPORTACION A CONSUMO,055-2021-10-00048269,1000271.0,11.0,1791920000000.0,TECNOESCALA S.A.,ITALY,ITALY,LINATE AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR MAGNETICO AREC,VELP,NUEVA,1.0,1.0,NUMERO DE UNIDADES,0.0,295.06,82.35,1.19,378.6,VELP SCIENTIFICA SRL,IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,ITALY,0.0,CALAHORRANO REVELO JIMENA DEL ROCIO,ECNGT,CEC2021IB002953,SE2101000031,-,4.01,AFORO-AFORO AUTOMATICO,TERESA DE CEPEDA N34-377 Y AV. REPUBLICA,20210118.0,20210118.0,20210120.0,20210120.0,1120205024,AREC HEATING MAG STIRRER 115V 60HZ,AGITADOR MAGNETICO AREC,VELP,2020.0,F20510011,295.06,20210120.0,20210120.0,EXW,SIATILOGISTICS S.A.,,0.0,CEC2021IB00295300150001,20210120.0,,,,,,
2021-01-20,IMPORTACION A CONSUMO,055-2021-10-00048269,1000271.0,12.0,1791920000000.0,TECNOESCALA S.A.,ITALY,ITALY,LINATE AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR MAGNETICO HSC,VELP,NUEVA,1.0,1.0,NUMERO DE UNIDADES,0.0,249.28,69.58,1.0,319.86,VELP SCIENTIFICA SRL,IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,ITALY,0.0,CALAHORRANO REVELO JIMENA DEL ROCIO,ECNGT,CEC2021IB002953,SE2101000031,-,3.39,AFORO-AFORO AUTOMATICO,TERESA DE CEPEDA N34-377 Y AV. REPUBLICA,20210118.0,20210118.0,20210120.0,20210120.0,1120205024,HSC HEATING MAG STIRRER 115V 60HZ,AGITADOR MAGNETICO HSC,VELP,2020.0,F20510101,249.28,20210120.0,20210120.0,EXW,SIATILOGISTICS S.A.,,0.0,CEC2021IB00295300150001,20210120.0,,,,,,
2021-01-08,IMPORTACION A CONSUMO,055-2021-10-00017437,549224.0,2.0,1791310000000.0,ESPECTROCROM CIA. LTDA.,GERMANY,GERMANY,BERLIN BRANDENBURG AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",Static mixer,SM,NUEVA,1.0,1.0,NUMERO DE UNIDADES,0.0,281.83,22.32,2.82,306.97,THERMO FISHER SCIENTIFIC,TAMPA CARGO S.A.,GERMANY,0.0,ESTEVEZ VARELA VANESA ELISABETH,N332QT,CEC2021QT000003,7.72335E+11,05000002-EMSAAIRPORT SERVICES CEM,0.48,AFORO-AFORO AUTOMATICO,"VICENTE ROCAFUERTE OE2-158 Y PASAJE HUMBERTO MORA, QUITO",20201211.0,20210101.0,20210108.0,20210111.0,8902008744,Mezclador,Mezclador,SM,2020.0,60405310,281.83,20210108.0,20210108.0,CPT,ENTREGAS ESPECIALES ESPENTREGAS S.A.,,0.0,CEC2021QT00000300180014,20210111.0,,,,,,
2021-01-29,IMPORTACION A CONSUMO,055-2021-10-00079321,124.0,5.0,1716310000000.0,FONSECA FERNANDEZ VIVIANA ELIZABETH,GERMANY,GERMANY,DÜSSELDORF AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MILL ZM200,RETSCH,NUEVA,7.0,1.0,NUMERO DE UNIDADES,0.0,11639.63,977.78,126.17,12743.58,RETSCH GMBH (DUS),KLM CIA REAL HOLANDESA DE AVIACION SA,GERMANY,0.0,ANTONIO SALGUERO O & EDUARDO SALGUERO O SERVICIOS ADUANEROS CIA. LTDA,PHBQD,CEC2021KL210834,07440997106,-,84.31,AFORO-AFORO AUTOMATICO,AV. MORAN VALVERDE S/N Y AV. MALDONADO,20210127.0,20210127.0,20210129.0,20210129.0,AR21R00634,EQUIPOS DE LABORATORIO,MILL ZM200,RETSCH,2021.0,100-240V 50/60 HZ,11639.63,20210129.0,20210129.0,CPT,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021KL2108340012,20210201.0,,,,,,
