timestamp,open,high,low,close,volume,symbol,interval
2020-05-10 21:00:00,8722.77,9939.0,8200.0,9680.04,721487.837087,BTCUSDT,1W
2020-05-17 21:00:00,9681.11,9950.0,8700.0,8720.34,517248.177536,BTCUSDT,1W
2020-05-24 21:00:00,8718.14,9740.0,8642.72,9448.27,425528.246167,BTCUSDT,1W
2020-05-31 21:00:00,9448.27,10380.0,9266.0,9746.99,427822.495347,BTCUSDT,1W
2020-06-07 21:00:00,9746.99,9992.72,9113.0,9342.1,336172.771517,BTCUSDT,1W
2020-06-14 21:00:00,9342.1,9589.0,8910.45,9294.69,323565.711842,BTCUSDT,1W
2020-06-21 21:00:00,9294.69,9780.0,8833.0,9116.35,343601.083154,BTCUSDT,1W
2020-06-28 21:00:00,9116.16,9292.0,8893.03,9069.41,247256.195125,BTCUSDT,1W
2020-07-05 21:00:00,9069.41,9470.0,9055.92,9302.75,284964.999673,BTCUSDT,1W
2020-07-12 21:00:00,9303.31,9343.82,9047.25,9208.99,247602.692095,BTCUSDT,1W
2020-07-19 21:00:00,9208.99,10111.0,9131.0,9931.54,346433.535115,BTCUSDT,1W
2020-07-26 21:00:00,9931.54,12123.46,9917.21,11071.35,637793.811724,BTCUSDT,1W
2020-08-02 21:00:00,11071.36,11909.94,10936.0,11681.68,403167.45146,BTCUSDT,1W
2020-08-09 21:00:00,11681.69,12067.35,11125.0,11911.0,468167.72232,BTCUSDT,1W
2020-08-16 21:00:00,11910.99,12468.0,11376.81,11648.13,426710.483502,BTCUSDT,1W
2020-08-23 21:00:00,11648.12,11824.9,11117.64,11711.16,355153.169372,BTCUSDT,1W
2020-08-30 21:00:00,11711.17,12050.85,9825.0,10256.2,581777.756525,BTCUSDT,1W
2020-09-06 21:00:00,10255.89,10580.11,9850.0,10332.83,366759.994048,BTCUSDT,1W
2020-09-13 21:00:00,10332.84,11179.79,10212.34,10920.28,374339.558814,BTCUSDT,1W
2020-09-20 21:00:00,10920.28,10988.86,10136.82,10774.25,331299.291081,BTCUSDT,1W
2020-09-27 21:00:00,10774.26,10950.0,10374.0,10666.63,288073.126989,BTCUSDT,1W
2020-10-04 21:00:00,10666.62,11491.0,10525.0,11369.02,288404.145494,BTCUSDT,1W
2020-10-11 21:00:00,11369.02,11720.01,11172.0,11503.14,279657.097047,BTCUSDT,1W
2020-10-18 21:00:00,11503.14,13350.0,11407.96,13028.83,418993.354681,BTCUSDT,1W
2020-10-25 21:00:00,13029.64,14100.0,12765.0,13761.5,485358.521716,BTCUSDT,1W
2020-11-01 21:00:00,13761.49,15960.0,13195.05,15475.1,665037.146452,BTCUSDT,1W
2020-11-08 21:00:00,15475.1,16480.0,14805.54,15957.0,529729.426496,BTCUSDT,1W
2020-11-15 21:00:00,15957.0,18965.9,15864.0,18414.43,684197.642829,BTCUSDT,1W
2020-11-22 21:00:00,18413.88,19484.21,16188.0,18184.99,676351.579974,BTCUSDT,1W
